Name,Version
libclutter-gtk-1.0-0:amd64,1.6.6
libcmis-0.5-5v5:amd64,0.5.1
libcogl-common,1.22.0
libcogl-pango20:amd64,1.22.0
libcogl-path20:amd64,1.22.0
libcogl20:amd64,1.22.0
libcolamd2.9.1:amd64,4.4.6
libcolord2:amd64,1.2.12
libcolorhug2:amd64,1.2.12
libcolumbus1-common,1.1.0
libcolumbus1v5:amd64,1.1.0
libcomerr2:amd64,1.42.13
libcompizconfig0:amd64,0.9.12.3
libcppunit-1.13-0v5:amd64,1.13.2
libcrack2:amd64,2.9.2
libcroco3:amd64,0.6.11
libcryptsetup4:amd64,1.6.6
libcrystalhd3:amd64,0.0
libcuda1-304,304.137
libcups2:amd64,2.1.3
libcupscgi1:amd64,2.1.3
libcupsfilters1:amd64,1.8.3
libcupsimage2:amd64,2.1.3
libcupsmime1:amd64,2.1.3
libcupsppdc1:amd64,2.1.3
libcurl3:amd64,7.47.0
libcurl3-gnutls:amd64,7.47.0
libcurl4-gnutls-dev:amd64,7.47.0
libdaemon0:amd64,0.14
libdata-alias-perl,1.20
libdatrie1:amd64,0.2.10
libdb5.3:amd64,5.3.28
libdbus-1-3:amd64,1.10.6
libdbus-glib-1-2:amd64,0.106
libdbusmenu-glib4:amd64,16.04.1
libdbusmenu-gtk3-4:amd64,16.04.1
libdbusmenu-gtk4:amd64,16.04.1
libdbusmenu-qt2:amd64,0.9.3
libdbusmenu-qt5:amd64,0.9.3
libdc1394-22:amd64,2.2.4
libdca0:amd64,0.0.5
libdconf1:amd64,0.24.0
libde265-0:amd64,1.0.2
libdebconfclient0:amd64,0.198
libdecoration0:amd64,0.9.12.3
libdee-1.0-4:amd64,1.2.7
libdevmapper1.02.1:amd64,1.02.110
libdfu1:amd64,0.8.3
libdigest-hmac-perl,1.03
libdistorm3-3,3.3.0
libdjvulibre-text,3.5.27.1
libdjvulibre21:amd64,3.5.27.1
libdmapsharing-3.0-2:amd64,2.9.34
libdns-export162,9.10.3.dfsg.P4
libdns162:amd64,9.10.3.dfsg.P4
libdotconf0:amd64,1.3
libdouble-conversion1v5:amd64,2.0.1
libdpkg-perl,1.18.4
libdrm-amdgpu1:amd64,2.4.83
libdrm-common,2.4.83
libdrm-dev:amd64,2.4.83
libdrm-intel1:amd64,2.4.83
libdrm-nouveau2:amd64,2.4.83
libdrm-radeon1:amd64,2.4.83
libdrm2:amd64,2.4.83
libdumbnet1:amd64,1.12
libdv4:amd64,1.0.0
libdvdnav4:amd64,5.0.3
libdvdread4:amd64,5.0.3
libdw1:amd64,0.165
libe-book-0.1-1:amd64,0.1.2
libebackend-1.2-10:amd64,3.18.5
libebook-1.2-16:amd64,3.18.5
libebook-contacts-1.2-2:amd64,3.18.5
libecal-1.2-19:amd64,3.18.5
libedata-book-1.2-25:amd64,3.18.5
libedata-cal-1.2-28:amd64,3.18.5
libedataserver-1.2-21:amd64,3.18.5
libedataserverui-1.2-1:amd64,3.18.5
libedit2:amd64,3.1
libefivar0:amd64,0.23
libegl1-mesa:amd64,17.2.8
libelf-dev:amd64,0.165
libelf1:amd64,0.165
libemail-valid-perl,1.198
libenchant1c2a:amd64,1.6.0
libencode-locale-perl,1.05
